,City,Lat,Lng,Max_Temp,Humidity,Cloudness,WindSpeed,Country,Date
0,leningradskiy,69.3833,178.4167,33.3,98,100,11.41,RU,1658852704
1,dingle,10.9995,122.6711,77.31,91,86,3.02,PH,1658852704
2,albany,42.6001,-73.9662,76.59,53,87,6.53,US,1658852704
3,kodiak,57.79,-152.4072,51.31,62,0,8.05,US,1658852704
4,hobart,-42.8794,147.3294,46.26,93,100,6.91,AU,1658852704
5,barrow,71.2906,-156.7887,35.62,93,100,24.16,US,1658852538
6,lavrentiya,65.5833,-171.0,38.12,86,97,15.88,RU,1658852705
7,saint-joseph,-21.3667,55.6167,68.38,83,47,7.29,RE,1658852692
8,punta arenas,-53.15,-70.9167,37.42,75,75,11.5,CL,1658852597
9,abu samrah,35.3029,37.1841,92.52,21,0,14.74,SY,1658852705
10,taoudenni,22.6783,-3.9836,113.97,7,4,17.18,ML,1658852705
11,cape town,-33.9258,18.4232,61.12,73,0,5.75,ZA,1658852705
12,rikitea,-23.1203,-134.9692,75.24,74,100,14.54,PF,1658852706
13,hermanus,-34.4187,19.2345,55.8,82,76,6.49,ZA,1658852706
14,deputatskiy,69.3,139.9,47.16,81,80,3.65,RU,1658852706
15,faanui,-16.4833,-151.75,76.57,76,87,2.48,PF,1658852706
16,ushuaia,-54.8,-68.3,38.82,56,20,5.75,AR,1658852707
17,bengkulu,-3.8004,102.2655,76.59,87,96,3.4,ID,1658852538
18,new norfolk,-42.7826,147.0587,45.9,87,100,3.22,AU,1658852707
19,port alfred,-33.5906,26.891,60.19,76,1,13.76,ZA,1658852707
20,rawson,-43.3002,-65.1023,46.58,97,100,7.58,AR,1658852672
21,huarmey,-10.0681,-78.1522,66.74,74,81,10.89,PE,1658852707
22,kapaa,22.0752,-159.319,77.32,84,40,16.11,US,1658852707
23,pontes e lacerda,-15.2261,-59.3353,96.84,18,21,3.62,BR,1658852707
24,longonjo,-12.9067,15.2533,80.11,13,3,5.17,AO,1658852708
25,san patricio,28.017,-97.5169,93.07,51,57,10.89,US,1658852708
26,jamestown,42.097,-79.2353,74.95,67,0,5.75,US,1658852455
27,norman wells,65.282,-126.8329,64.44,59,75,9.22,CA,1658852708
28,comodoro rivadavia,-45.8667,-67.5,39.06,75,40,10.36,AR,1658852708
29,lebu,-37.6167,-73.65,54.01,80,12,18.57,CL,1658852708
30,atuona,-9.8,-139.0333,76.69,77,4,17.05,PF,1658852708
31,anadyr,64.75,177.4833,46.9,81,40,6.71,RU,1658852709
32,cherskiy,68.75,161.3,36.39,84,7,10.45,RU,1658852709
33,la ronge,55.1001,-105.2842,62.82,72,100,12.66,CA,1658852709
34,mataura,-46.1927,168.8643,44.47,97,100,7.78,NZ,1658852709
35,wanning,18.8003,110.3967,80.82,85,11,5.64,CN,1658852709
36,irbit,57.6705,63.071,61.2,94,98,8.1,RU,1658852710
37,guilin,25.2819,110.2864,78.91,74,42,1.1,CN,1658852710
38,san jose,37.3394,-121.895,69.78,73,20,5.75,US,1658852710
39,hoi an,15.8794,108.335,82.36,83,42,5.57,VN,1658852709
40,belem,-1.4558,-48.5044,87.84,70,20,8.05,BR,1658852710
41,sao joao da barra,-21.6403,-41.0511,78.89,70,29,9.86,BR,1658852710
42,santa barbara,34.7333,-120.0343,71.35,88,100,4.61,US,1658852711
43,bogovina,43.895,21.9403,98.51,18,0,4.81,RS,1658852711
44,alta floresta,-9.8756,-56.0861,96.62,26,20,6.91,BR,1658852711
45,bambous virieux,-20.3428,57.7575,70.21,83,40,8.05,MU,1658852711
46,chegdomyn,51.1167,133.0167,62.85,97,30,1.48,RU,1658852711
47,tuktoyaktuk,69.4541,-133.0374,59.0,88,100,8.05,CA,1658852711
48,torbay,47.6666,-52.7314,77.77,78,75,25.32,CA,1658852712
49,bluff,-46.6,168.3333,44.8,89,100,25.19,NZ,1658852712
50,mahajanga,-15.7167,46.3167,75.22,78,20,5.75,MG,1658852712
51,waipawa,-41.4122,175.5153,49.05,98,94,7.43,NZ,1658852712
52,biltine,14.5333,20.9167,95.27,32,98,11.32,TD,1658852713
