,City,Lat,Lng,Max_Temp,Humidity,Cloudness,WindSpeed,Country,Date
0,kambove,-10.8764,26.5969,75.07,35,8,7.02,CD,1657879051
1,nanortalik,60.1432,-45.2371,43.68,83,100,0.65,GL,1657879051
2,kodiak,57.79,-152.4072,54.66,91,90,3.98,US,1657879051
3,cherskiy,68.75,161.3,49.89,54,99,7.23,RU,1657879051
4,mataura,-46.1927,168.8643,38.48,98,98,2.86,NZ,1657879051
5,sandane,61.7728,6.215,56.57,71,75,2.3,NO,1657879039
6,conde,-7.2597,-34.9075,69.26,100,75,8.05,BR,1657879051
7,ushuaia,-54.8,-68.3,24.46,80,0,1.14,AR,1657878909
8,albany,42.6001,-73.9662,58.73,86,1,3.44,US,1657879052
9,ancud,-41.8697,-73.8203,38.23,83,33,8.66,CL,1657879052
10,kendari,-3.945,122.4989,73.69,96,100,0.29,ID,1657879052
11,rikitea,-23.1203,-134.9692,67.21,77,100,8.3,PF,1657879052
12,hobart,-42.8794,147.3294,46.26,83,75,5.75,AU,1657879052
13,hermanus,-34.4187,19.2345,60.8,69,97,7.0,ZA,1657879052
14,vila franca do campo,37.7167,-25.4333,72.01,89,77,12.24,PT,1657879052
15,umm kaddadah,13.6017,26.6876,89.74,42,27,11.39,SD,1657879053
16,san patricio,28.017,-97.5169,86.85,78,26,4.92,US,1657879053
17,longyearbyen,78.2186,15.6401,55.24,67,75,13.8,SJ,1657879053
18,castro,-24.7911,-50.0119,56.28,69,81,6.53,BR,1657879053
19,xining,36.6167,101.7667,59.52,96,100,2.48,CN,1657879053
20,butaritari,3.0707,172.7902,82.26,81,38,15.73,KI,1657879053
21,eyl,7.9803,49.8164,89.02,50,94,26.6,SO,1657879053
22,atuona,-9.8,-139.0333,77.04,70,18,13.29,PF,1657879053
23,barrow,71.2906,-156.7887,33.82,80,100,9.22,US,1657879053
24,jumla,29.2747,82.1838,70.16,77,93,3.36,NP,1657879054
25,bredasdorp,-34.5322,20.0403,60.3,64,78,7.25,ZA,1657879054
26,jamestown,42.097,-79.2353,56.71,86,0,1.01,US,1657879054
27,banjar,-8.19,114.9675,78.22,86,74,3.0,ID,1657879054
28,cabo san lucas,22.8909,-109.9124,81.61,68,62,10.69,MX,1657879054
29,krasnoselkup,65.7,82.4667,63.95,48,100,8.43,RU,1657879025
30,severo-kurilsk,50.6789,156.125,55.92,84,23,11.54,RU,1657879054
31,puerto ayora,-0.7393,-90.3518,67.55,98,82,7.0,EC,1657879054
32,korla,41.7597,86.1469,91.51,19,58,11.61,CN,1657879055
33,bluff,-46.6,168.3333,38.8,70,60,11.88,NZ,1657879055
34,yar-sale,66.8333,70.8333,70.86,37,0,10.8,RU,1657879055
35,bathsheba,13.2167,-59.5167,81.21,91,40,24.16,BB,1657879055
36,half moon bay,37.4636,-122.4286,58.91,88,100,9.22,US,1657879055
37,mar del plata,-38.0023,-57.5575,53.1,98,100,7.0,AR,1657878946
38,port elizabeth,-33.918,25.5701,64.69,52,0,3.44,ZA,1657878829
39,nacala,-14.5428,40.6728,83.52,47,20,16.11,MZ,1657879055
40,lomovka,53.9194,58.3672,71.04,79,100,4.99,RU,1657879055
41,arambagh,22.8833,87.7833,92.64,55,98,14.14,IN,1657879055
42,vaini,-21.2,-175.2,75.36,100,40,5.75,TO,1657879056
43,cape town,-33.9258,18.4232,66.11,70,0,8.05,ZA,1657878983
44,sacramento,38.4666,-121.3177,70.93,66,0,1.99,US,1657878997
45,aykhal,66.0,111.5,50.99,98,100,14.99,RU,1657879056
46,ahipara,-35.1667,173.1667,53.19,82,100,6.96,NZ,1657878796
47,tiksi,71.6872,128.8694,43.14,81,89,16.4,RU,1657879056
48,dikson,73.5069,80.5464,44.02,79,11,14.79,RU,1657879056
49,khatanga,71.9667,102.5,63.3,39,61,8.14,RU,1657879056
50,tshikapa,-6.4167,20.8,93.47,20,61,7.58,CD,1657879057
51,jalpa,21.6333,-102.9667,64.51,70,95,4.61,MX,1657879057
52,mapiripan,2.8892,-72.1256,70.72,97,88,3.6,CO,1657879057
53,punta arenas,-53.15,-70.9167,26.71,100,20,6.91,CL,1657879057
54,okhotsk,59.3833,143.3,59.94,95,100,7.38,RU,1657879058
55,maxixe,-23.8597,35.3472,75.94,47,0,11.9,MZ,1657878950
56,port hardy,50.6996,-127.4199,55.58,94,100,0.0,CA,1657879058
57,gasa,31.5,34.4667,90.88,54,8,12.33,PS,1657879058
58,palmer,42.1584,-72.3287,63.5,82,24,3.02,US,1657879058
59,lagoa,39.05,-27.9833,68.2,90,5,14.18,PT,1657879059
60,kapaa,22.0752,-159.319,77.32,86,75,16.11,US,1657879059
61,alta floresta,-9.8756,-56.0861,64.9,59,19,2.62,BR,1657879059
62,abha,18.2164,42.5053,87.62,18,20,6.91,SA,1657879059
63,sulangan,11.1373,123.7228,85.24,69,95,4.52,PH,1657879059
64,sembabule,-0.0772,31.4567,84.67,31,93,10.83,UG,1657879059
65,panacan,9.2463,118.4082,82.69,81,100,5.48,PH,1657879059
66,cabedelo,-6.9811,-34.8339,70.47,85,35,14.63,BR,1657879059
67,hilo,19.7297,-155.09,73.26,96,100,5.75,US,1657878774
68,sokolo,14.7328,-6.1219,89.53,42,83,2.98,ML,1657879060
69,port alfred,-33.5906,26.891,65.17,68,0,1.99,ZA,1657878942
70,cayenne,4.9333,-52.3333,76.08,1,75,0.0,GF,1657879021
71,torbay,47.6666,-52.7314,59.29,95,100,3.44,CA,1657879060
72,chuy,-33.6971,-53.4616,58.35,99,100,3.78,UY,1657879060
73,east london,-33.0153,27.9116,65.34,59,0,1.14,ZA,1657879060
74,hasaki,35.7333,140.8333,75.6,93,100,7.05,JP,1657879061
75,pangnirtung,66.1451,-65.7125,54.21,51,36,1.68,CA,1657879061
76,muscat,23.6139,58.5922,91.98,62,92,12.48,OM,1657878764
77,kasamwa,-2.85,32.4333,83.84,32,89,8.41,TZ,1657879061
78,tuktoyaktuk,69.4541,-133.0374,36.18,85,100,18.1,CA,1657879061
79,mackay,-21.15,149.2,55.69,80,73,16.44,AU,1657879061
80,nisia floresta,-6.0911,-35.2086,73.78,88,43,11.23,BR,1657879061
81,rudnaya pristan,44.3614,135.8116,61.74,96,100,24.74,RU,1657879061
82,kaitangata,-46.2817,169.8464,38.97,92,100,8.23,NZ,1657879061
83,acapulco,16.8634,-99.8901,77.07,85,100,6.98,MX,1657879061
84,new norfolk,-42.7826,147.0587,45.9,82,52,1.01,AU,1657879062
85,ngunguru,-35.6167,174.5,52.21,85,100,8.61,NZ,1657879062
86,pisco,-13.7,-76.2167,53.65,87,3,6.91,PE,1657879062
87,airai,-8.9266,125.4092,57.0,86,96,2.71,TL,1657879062
88,lebu,-37.6167,-73.65,40.6,89,77,8.19,CL,1657879062
89,georgetown,5.4112,100.3354,89.55,70,20,8.05,MY,1657879062
90,richards bay,-28.783,32.0377,70.9,57,81,10.42,ZA,1657879062
91,dolores,-36.3132,-57.6792,52.14,98,100,8.61,AR,1657879062
92,rosetta,31.4044,30.4164,80.31,53,0,12.93,EG,1657879062
93,lake charles,30.2131,-93.2044,77.99,97,40,4.61,US,1657879063
94,singapore,1.2897,103.8501,86.2,74,40,6.91,SG,1657878903
95,port lincoln,-34.7333,135.8667,57.76,44,100,12.28,AU,1657879063
96,vizinga,61.0749,50.1031,69.69,90,97,9.15,RU,1657879063
97,sur,22.5667,59.5289,87.1,68,78,7.67,OM,1657879063
98,hithadhoo,-0.6,73.0833,83.8,74,57,10.51,MV,1657879063
99,pevek,69.7008,170.3133,34.63,80,100,3.69,RU,1657878841
100,den helder,52.9599,4.7593,70.02,61,100,13.0,NL,1657879063
101,midland,31.9974,-102.0779,73.9,59,0,4.61,US,1657879063
102,busselton,-33.65,115.3333,58.64,75,75,6.49,AU,1657879063
103,thompson,55.7435,-97.8558,51.96,100,40,0.0,CA,1657879064
104,skibotn,69.3913,20.2679,54.63,84,100,6.93,NO,1657879064
105,souillac,-20.5167,57.5167,75.58,64,75,10.36,MU,1657879064
106,basco,20.4487,121.9702,85.32,78,99,13.0,PH,1657879064
107,san jose de tarros,15.3,-88.7,68.94,99,96,1.7,HN,1657879064
108,rosarito,32.3333,-117.0333,64.47,85,2,6.91,MX,1657879064
109,leningradskiy,69.3833,178.4167,32.49,83,63,1.41,RU,1657879064
110,chernyshevskiy,63.0128,112.4714,66.06,69,100,7.02,RU,1657878962
111,capitan bado,-23.2667,-55.5333,72.52,38,83,14.18,PY,1657879065
112,saint-pierre,-21.3393,55.4781,80.28,57,75,3.44,RE,1657879065
113,eureka,40.8021,-124.1637,56.93,85,5,1.99,US,1657879065
114,lompoc,34.6391,-120.4579,59.77,90,100,6.91,US,1657878849
